Price,Close,High,Low,Open,Volume,daily_return
Ticker,GME,GME,GME,GME,GME,
Date,,,,,,
2021-01-04,4.3125,4.775000095367432,4.287499904632568,4.75,40090000,
2021-01-05,4.34250020980835,4.519999980926514,4.307499885559082,4.337500095367432,19846000,0.6956570390342032
2021-01-06,4.590000152587891,4.744999885559082,4.332499980926514,4.335000038146973,24224800,5.699480272229263
2021-01-07,4.519999980926514,4.862500190734863,4.505000114440918,4.617499828338623,24517200,-1.5250581554318687
2021-01-08,4.422500133514404,4.574999809265137,4.269999980926514,4.545000076293945,25928000,-2.157076279281833
2021-01-11,4.985000133514404,5.162499904632568,4.752500057220459,4.852499961853027,59632000,12.719049926924498
2021-01-12,4.987500190734863,5.099999904632568,4.829999923706055,4.989999771118164,28242800,0.05015159786356804
2021-01-13,7.849999904632568,9.662500381469727,5.007500171661377,5.105000019073486,578006800,57.39347577801177
2021-01-14,9.977499961853027,10.765000343322754,8.262499809265137,9.522500038146973,374869600,27.10191188620199
2021-01-15,8.875,10.1875,8.5024995803833,9.6225004196167,187465600,-11.0498618498443
2021-01-19,9.84000015258789,11.380000114440918,9.15999984741211,10.387499809265137,298887600,10.8732411559199
2021-01-20,9.779999732971191,10.297499656677246,9.015000343322754,9.342499732971191,133887200,-0.6097603525028306
2021-01-21,10.757499694824219,11.1875,9.25,9.807499885559082,224867600,9.994887408407527
2021-01-22,16.252500534057617,19.190000534057617,10.579999923706055,10.647500038146973,788631600,51.08065066343643
2021-01-25,19.197500228881836,39.79499816894531,15.282500267028809,24.1825008392334,711496000,18.120286713129975
2021-01-26,36.994998931884766,37.5,20.049999237060547,22.139999389648438,714352000,92.70737591255416
2021-01-27,86.87750244140625,95.0,62.25,88.7074966430664,373586800,134.83580199952218
2021-01-28,48.400001525878906,120.75,28.0625,66.25,235263200,-44.2893727768914
2021-01-29,81.25,103.49500274658203,62.5,94.92749786376953,202264400,67.87189553404578
2021-02-01,56.25,80.5,53.0,79.13999938964844,149528800,-30.76923076923077
2021-02-02,22.5,39.5,18.55500030517578,35.189998626708984,312732400,-60.0
2021-02-03,23.102500915527344,28.350000381469727,21.3125,28.002500534057617,170794000,2.6777818467881964
2021-02-04,13.375,22.875,13.332500457763672,22.797500610351562,249709200,-42.1058349963723
2021-02-05,15.942500114440918,23.75,12.772500038146973,13.510000228881836,325380000,19.19626253787603
2021-02-08,15.0,18.165000915527344,14.505000114440918,18.102500915527344,102749200,-5.911871461033824
2021-02-09,12.577500343322754,14.25,11.630000114440918,14.15250015258789,107372400,-16.14999771118164
2021-02-10,12.800000190734863,15.707500457763672,11.637499809265137,12.692500114440918,145820000,1.7690307401202476
2021-02-11,12.774999618530273,13.829999923706055,12.055000305175781,12.5024995803833,52226800,-0.1953169674379085
2021-02-12,13.100000381469727,13.8100004196167,12.012499809265137,12.6875,58293200,2.544037359249973
2021-02-16,12.3774995803833,13.375,12.260000228881836,13.164999961853027,32700000,-5.515273130132281
2021-02-17,11.484999656677246,12.797499656677246,11.140000343322754,12.442500114440918,36747200,-7.210664140280388
2021-02-18,10.172499656677246,12.217499732971191,10.162500381469727,12.1225004196167,95962400,-11.427949840964324
2021-02-19,10.147500038146973,10.97249984741211,9.625,10.319999694824219,59312800,-0.24575688743192492
